point_1,point_2,point3
3.611667894,6.42586445,6.203389838
3.582867493,6.390034264,6.17867395
3.572137177,6.424687823,6.205785293
3.612072448,6.387529187,6.181756473
3.554336795,6.34879539,6.16636243
3.590168732,6.386390516,6.156409225
3.535303487,6.350009972,6.140699502
3.56905486,6.335947383,6.147997281
3.552448876,6.326724147,6.145341855
3.524322732,6.295752291,6.094591651
3.535284222,6.308277674,6.099493976
3.548441864,6.269012496,6.053813221
3.538173895,6.271498595,6.081871603
3.535207165,6.271612462,6.089986437
3.546496151,6.254323638,6.064639189
3.533454097,6.218929943,6.034668157
3.535958479,6.241532565,6.005235638
3.536709794,6.234586671,6.024027883
3.547594226,6.197067456,5.968988145
3.521722027,6.17979761,5.976508757
3.506483822,6.187521596,5.995152447
3.486063471,6.140760167,5.953501255
3.491399732,6.151672432,5.965924192
3.520296455,6.158902994,5.915675362
3.483809526,6.14391049,5.949880219
3.467222807,6.091303882,5.927132689
3.477182544,6.108668618,5.892537874
3.470035422,6.115215977,5.87812801
3.438422407,6.054885383,5.872854297
3.450732411,6.072629675,5.853820649
3.48309674,6.049628517,5.878555106
3.4364189,5.993985453,5.832874352
3.458072178,6.016626031,5.840320686
3.461693901,6.048622691,5.810033974
3.424108896,5.999792676,5.7788745
3.42880943,6.012773527,5.764910302
3.450443443,5.993188383,5.772635178
3.421527456,5.99975472,5.758875243
3.446166728,5.970528827,5.766005897
3.405345291,5.9046567,5.736239129
3.380262935,5.950602081,5.741345718
3.388546662,5.903669851,5.715961331
3.374734029,5.904884434,5.69416084
3.404767356,5.904846478,5.672211795
3.388565927,5.913196733,5.68405908
3.359341708,5.865106854,5.647830156
3.391359277,5.853682187,5.646678853
3.411047578,5.818497248,5.589410785
3.342485286,5.832389036,5.620291718
3.360536106,5.822311796,5.625435445
3.331061448,5.79576178,5.592177627
3.363695481,5.80557333,5.593923152
3.343236601,5.781414523,5.538901983
3.344142031,5.759912616,5.591731961
3.337495785,5.750120044,5.576040808
3.303628825,5.749835376,5.531901314
3.312567545,5.732945087,5.498810621
3.340385457,5.714878171,5.490900052
3.30811745,5.703833061,5.493351214
3.306383646,5.709070948,5.488021793
3.306460704,5.637771155,5.461374686
3.278199709,5.667167849,5.449063165
3.295402892,5.644242603,5.430846572
3.285693593,5.635987237,5.415638223
3.235914171,5.62739027,5.42237892
3.254253958,5.60820366,5.404088048
3.273922994,5.567572077,5.363458174
3.274770631,5.590819947,5.377979454
3.277910742,5.547284753,5.327303528
3.242772327,5.56595896,5.317164629
3.241077052,5.514415112,5.322846869
3.230346736,5.532387138,5.299523687
3.225858111,5.52954046,5.286413682
3.207248622,5.51583845,5.272950858
3.210677699,5.464446425,5.268215657
3.207922879,5.5115115,5.256498358
3.192703938,5.474561621,5.22578455
3.179546296,5.430476068,5.212024615
3.157604051,5.450782371,5.171636143
3.1918563,5.400434127,5.211894629
3.169625088,5.437554808,5.182090722
3.151439417,5.408670515,5.155759295
3.147201231,5.381114673,5.147960142
3.142365846,5.344923908,5.1012395
3.141267771,5.343462613,5.116856376
3.143483186,5.366463771,5.114145242
3.145756395,5.321144658,5.071992676
3.159068152,5.347011472,5.056004412
3.124257233,5.306949224,5.041334576
3.074535605,5.260472463,5.051752016
3.088964702,5.292336278,5.026163366
3.095572419,5.246011339,5.012384862
3.113045304,5.276945239,5.004975666
3.103239683,5.231493281,4.978291421
3.125432366,5.25333679,4.981411082
3.076596904,5.208473146,4.950641565
3.079043493,5.218322651,4.959851994
3.081971695,5.16256572,4.90718914
3.045369179,5.15867526,4.943102384
3.048952372,5.167803607,4.904737978
3.054134518,5.139241939,4.892185055
3.051803516,5.121307868,4.896288895
3.024852505,5.124875704,4.896604575
3.022174742,5.083617852,4.851053806
3.036064434,5.091417749,4.864646616
3.016973332,5.083940475,4.8079542
3.015990844,5.064203508,4.83198302
3.00535685,5.042682623,4.806617202
2.990735108,5.026077002,4.791780242
2.990792901,5.051070834,4.755904137
2.995204467,5.01106552,4.739005972
2.966827885,4.992106646,4.745598113
2.963071311,5.011084498,4.739618762
2.939009973,4.968744909,4.704169754
2.964631734,4.959085182,4.698338958
2.969370797,4.9608691,4.688664294
2.942361993,4.950829816,4.686046007
2.907743719,4.910122321,4.67078195
2.900211306,4.943162763,4.661998618
2.924966166,4.897862628,4.619846052
2.935060754,4.879662867,4.634645874
2.909747225,4.898621742,4.606866032
2.893199035,4.862658711,4.589912159
2.853225235,4.859849989,4.599271143
2.875437182,4.829883959,4.555075941
2.907435487,4.850114351,4.571324177
2.884915308,4.820565834,4.538010651
2.855575501,4.824114692,4.515578801
2.838738344,4.800145664,4.534463893
2.856519461,4.78365391,4.498290678
2.856712106,4.792212921,4.466871232
2.86343541,4.771906619,4.439351363
2.820783847,4.747558034,4.450752982
2.834230455,4.708729347,4.465237124
2.811979978,4.731882327,4.429918101
2.851587754,4.704231596,4.41951923
2.799592916,4.709355616,4.405870712
2.830531675,4.69906962,4.389585337
2.777303911,4.679237763,4.382658946
2.828740078,4.678554561,4.397273074
2.774433503,4.675783794,4.374284141
2.750950099,4.65929204,4.37937216
2.755746955,4.633880695,4.347395632
2.755824013,4.625473506,4.334694154
2.760543811,4.642838242,4.348881185
2.748079691,4.616610849,4.31647756
2.752568316,4.607710236,4.328919067
2.706661055,4.582355825,4.295289861
2.728641829,4.587328022,4.271056777
2.743706654,4.560948807,4.299208007
2.700727594,4.56127143,4.250184758
2.680384301,4.552465706,4.283461145
2.681597964,4.57700407,4.2207151
